Das war's für heute.
Bis zum nächsten Mal.
Pock!
Aber Mittwoch eine Projekt-Präsentation, Pog.
Ist es ein GIF oder ein GIF?
Auch wenn der Erfinder angeblich mal GIF gesagt hat, manchmal wissen auch Erfinder nicht Bescheid über ihr eigenes Zeug.
Was hast du denn für ein Projekt gemacht, GiantMaster95?
Wieso, reicht doch. Scheiß drauf, reicht.
Ganz ehrlich, Hauptsache du bestehst, Note, who cares, ja.
Ernsthaft? Wirklich? Die haben die verloren.
Aber wenn du neu schreiben darfst, heißt das du schreibst eine andere Prüfung oder die gleiche nochmal?
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
Das ist ein Haufen inkompetenter Volldeppen.
